variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
narrower_query,6434,2652,55987351900,Knab N.,1,1,0,0,1,0,9283,85131186780,https://www.scopus.com/authid/detail.uri?authorId=55987351900,unvalidated_query_candidate_articles
narrower_query,6435,2652,55987735500,Warkentin M.,1,0,1,0,0,1,9283,85042398288,https://www.scopus.com/authid/detail.uri?authorId=55987735500,unvalidated_query_candidate_articles
narrower_query,6436,2652,55992632000,Hirsch S.,1,0,1,0,0,1,9283,85038866720,https://www.scopus.com/authid/detail.uri?authorId=55992632000,unvalidated_query_candidate_articles
narrower_query,6437,2652,55993160200,Loehr A.,1,0,1,0,0,1,9283,84943222917,https://www.scopus.com/authid/detail.uri?authorId=55993160200,unvalidated_query_candidate_articles
narrower_query,6438,2652,55993475300,Meagher P.,1,0,1,0,0,1,9283,84867626984,https://www.scopus.com/authid/detail.uri?authorId=55993475300,unvalidated_query_candidate_articles
narrower_query,6439,2652,55993762800,Bertozzi S.M.,1,0,1,0,0,1,9283,84898599463,https://www.scopus.com/authid/detail.uri?authorId=55993762800,unvalidated_query_candidate_articles
narrower_query,6440,2652,55994563500,Zheng C.,1,1,0,0,1,0,9283,85173650228,https://www.scopus.com/authid/detail.uri?authorId=55994563500,unvalidated_query_candidate_articles
narrower_query,6441,2652,55994969800,Spáč P.,1,0,1,0,0,1,9283,85085178384,https://www.scopus.com/authid/detail.uri?authorId=55994969800,unvalidated_query_candidate_articles
narrower_query,6442,2652,55995445700,Abdulkarim D.,1,1,0,0,1,0,9283,85142722682,https://www.scopus.com/authid/detail.uri?authorId=55995445700,unvalidated_query_candidate_articles
narrower_query,6443,2652,55995674600,Pinar C.,1,1,0,0,1,0,9283,85054917716,https://www.scopus.com/authid/detail.uri?authorId=55995674600,unvalidated_query_candidate_articles
narrower_query,6444,2652,55995736400,Wang H.,1,0,1,0,0,1,9283,85173650228,https://www.scopus.com/authid/detail.uri?authorId=55995736400,unvalidated_query_candidate_articles
narrower_query,6445,2652,55996066700,Münster J.,1,0,1,0,0,1,9283,105001845466,https://www.scopus.com/authid/detail.uri?authorId=55996066700,unvalidated_query_candidate_articles
narrower_query,6446,2652,55999351600,Xu Z.,1,0,1,0,0,1,9283,105014025979,https://www.scopus.com/authid/detail.uri?authorId=55999351600,unvalidated_query_candidate_articles
narrower_query,6447,2652,56000440100,Nakata C.,1,1,0,0,1,0,9283,84870294153,https://www.scopus.com/authid/detail.uri?authorId=56000440100,unvalidated_query_candidate_articles
narrower_query,6448,2652,56000733000,Nguyen T.T.,1,0,1,0,0,1,9283,85199950656,https://www.scopus.com/authid/detail.uri?authorId=56000733000,unvalidated_query_candidate_articles
narrower_query,6449,2652,56001010500,Thai M.,1,1,0,0,1,0,9283,85109190747,https://www.scopus.com/authid/detail.uri?authorId=56001010500,unvalidated_query_candidate_articles
narrower_query,6450,2652,56001434600,Dix E.L.,1,1,0,0,1,0,9283,85174676006,https://www.scopus.com/authid/detail.uri?authorId=56001434600,unvalidated_query_candidate_articles
narrower_query,6451,2652,56002394900,Mader M.,1,1,0,0,1,0,9283,85125713450,https://www.scopus.com/authid/detail.uri?authorId=56002394900,unvalidated_query_candidate_articles
narrower_query,6452,2652,56003246400,Lageson S.,1,1,0,0,1,0,9283,105007249723,https://www.scopus.com/authid/detail.uri?authorId=56003246400,unvalidated_query_candidate_articles
narrower_query,6453,2652,56003395300,Williams A.L.,1,0,1,0,0,1,9283,84920164595,https://www.scopus.com/authid/detail.uri?authorId=56003395300,unvalidated_query_candidate_articles
narrower_query,6454,2652,56003407000,Damstra A.,1,1,0,0,1,0,9283,105039637371,https://www.scopus.com/authid/detail.uri?authorId=56003407000,unvalidated_query_candidate_articles
narrower_query,6455,2652,56003599000,Kagotani K.,1,1,0,0,1,0,9283,85136121112,https://www.scopus.com/authid/detail.uri?authorId=56003599000,unvalidated_query_candidate_articles
narrower_query,6456,2652,56003630600,Smith B.A.,1,1,0,0,1,0,9283,85203024413,https://www.scopus.com/authid/detail.uri?authorId=56003630600,unvalidated_query_candidate_articles
narrower_query,6457,2652,56003671900,Vitriol J.A.,1,1,0,0,1,0,9283,105014926557,https://www.scopus.com/authid/detail.uri?authorId=56003671900,unvalidated_query_candidate_articles
narrower_query,6458,2652,56003681600,Hunter A.S.,1,1,0,0,1,0,9283,105022821634,https://www.scopus.com/authid/detail.uri?authorId=56003681600,unvalidated_query_candidate_articles
narrower_query,6459,2652,56003803500,Kim H.S.,1,0,1,0,0,1,9283,85200045450,https://www.scopus.com/authid/detail.uri?authorId=56003803500,unvalidated_query_candidate_articles
narrower_query,6460,2652,56003893400,van Gorp B.,1,0,1,0,0,1,9283,85055976712,https://www.scopus.com/authid/detail.uri?authorId=56003893400,unvalidated_query_candidate_articles
narrower_query,6461,2652,56003917900,Kim H.,1,0,1,0,0,1,9283,85203024413,https://www.scopus.com/authid/detail.uri?authorId=56003917900,unvalidated_query_candidate_articles
narrower_query,6462,2652,56003938900,Rossetto A.,1,0,1,0,0,1,9283,105008468717,https://www.scopus.com/authid/detail.uri?authorId=56003938900,unvalidated_query_candidate_articles
narrower_query,6463,2652,56004173900,Farhart C.E.,1,1,0,0,1,0,9283,85127948373,https://www.scopus.com/authid/detail.uri?authorId=56004173900,unvalidated_query_candidate_articles
narrower_query,6464,2652,56008549800,Sætrevik B.,1,0,1,0,0,1,9283,85142918608,https://www.scopus.com/authid/detail.uri?authorId=56008549800,unvalidated_query_candidate_articles
narrower_query,6465,2652,56010496400,Giza A.,1,0,1,0,0,1,9283,85068329473,https://www.scopus.com/authid/detail.uri?authorId=56010496400,unvalidated_query_candidate_articles
narrower_query,6466,2652,56013415600,Park H.,1,0,1,0,0,1,9283,105024769524,https://www.scopus.com/authid/detail.uri?authorId=56013415600,unvalidated_query_candidate_articles
narrower_query,6467,2652,56013633800,Castro J.,1,1,0,0,1,0,9283,85122067411,https://www.scopus.com/authid/detail.uri?authorId=56013633800,unvalidated_query_candidate_articles
narrower_query,6468,2652,56015834800,von Schiller A.,1,0,1,0,0,1,9283,85200241054,https://www.scopus.com/authid/detail.uri?authorId=56015834800,unvalidated_query_candidate_articles
narrower_query,6469,2652,56017435600,Busso D.S.,1,1,0,0,1,0,9283,85064817802,https://www.scopus.com/authid/detail.uri?authorId=56017435600,unvalidated_query_candidate_articles
