authid,name,orcid,name_source_scopus_id
6602120340,Vallée-Tourangeau F.,,84930805371
6602124193,Schermer M.H.N.,,85026898144
6602124418,Meneghetti C.,,85079754149
6602124911,Sulsky L.M.,,84944706691
6602126251,Scholte J.A.,,85063328286
6602126505,Rasinski K.A.,,82255191868
6602129078,Wascher D.C.,,105012935442
6602134841,Hagger M.S.,,85020458056
6602139501,Bade S.,,84966702092
6602139967,Belopolsky A.V.,,84992409634
6602142300,Lickel B.,,85122153971
6602143678,Loken B.,,85100124958
6602146413,Hochschild J.,,85103499459
6602149669,Pile J.,,77954320771
6602150585,Vansteenkiste M.,,105049008875
6602151641,Durfee J.M.,,85115088848
6602155183,Blazar P.,,85150751341
6602156363,Bleakley A.,,84958043605
6602156375,Bazzini D.G.,,85125275698
6602156578,Chatzisarantis N.L.D.,,85020458056
6602163999,Ben-ari R.,,85017535918
6602165948,Pogarsky G.,,85099058632
6602167168,Afrin L.B.,,77649180734
6602167774,Bucy E.P.,,85143604059
6602184830,Cornacchia G.,,84875243382
6602192383,Cabrales A.,,105013090987
6602200141,Laibson D.,,84951003254
6602213082,Ginis K.A.M.,,84888405031
6602213733,Recasens L.,,84873620035
6602214882,Culpepper P.D.,0000-0001-6227-0813,105040003129
6602223380,Schwaninger A.,,78049272758
6602224225,Nieuwbeerta P.,0000-0001-5134-3175,105001068201
6602226307,Sheeler R.D.,,84978766856
6602227594,Tsafrir A.,,84885909502
6602228540,Steg L.,0000-0002-8375-9607,86000080205
6602237439,Bellani G.,,85210769305
6602237699,Overbye E.,,85015026292
6602237931,Riccucci N.M.,,84930726235
6602241000,Trueswell J.C.,,79959332464
6602242326,Wantchekon L.,,85099537007
6602243856,Lotto L.,,105034954403
6602246665,Yap O.,,84875797748
6602247197,Méon P.G.,,85185516367
6602250812,Oenema A.,,85094861671
6602253495,Galliher R.V.,0000-0003-0430-9294,85142720865
6602255046,Barbey A.K.,,79952850224
6602256518,van der Lippe T.,,85190988573
6602264026,Furler J.,,85091101136
6602274167,Fiksenbaum L.,,85053670796
6602277054,Portielje J.E.A.,,85118542681
6602277868,Madrian B.C.,,84951003254
6602281287,Schuengel C.,,85073101774
6602281748,Colombatto E.,,105002231965
6602283062,Pevehouse J.C.W.,,105032860235
6602283639,Ramberg M.,,84961190121
6602286499,Duch R.,,105023538588
6602291594,Coppedge M.,,85210917338
6602294045,Fluke J.,0000-0003-3578-2463,85126325764
6602294266,Steinmo S.,,85104447444
6602298026,Berent M.K.,,105023444230
6602298752,Herne K.,,85124773382
6602298978,Kazaura M.R.,,84973862000
6602301804,Veenstra-VanderWeele J.,,85030317816
6602306343,Haselgrove M.,,85135774271
6602316855,Girandola F.,,85077050163
